Error_NR Error_NR_EX
1.9452501123526e-05 0.000482274352925423
2.0017854860786e-05 0.000496630475041425
2.05902936719619e-05 1.26513041426294e-07
2.11697376370304e-05 1.33975319582459e-07
2.17561039286371e-05 1.41702028034293e-07
2.23493067435876e-05 1.49755874971027e-07
2.2949257234353e-05 1.58145722367477e-07
2.35558634400535e-05 1.66880528314727e-07
2.41690302166068e-05 1.75969346217745e-07
2.4788659167734e-05 1.85421322364582e-07
2.54146485744665e-05 1.95245694583522e-07
2.60468933257932e-05 2.05451790209033e-07
2.66852848482677e-05 2.16049024280812e-07
2.73297110363977e-05 2.27046897629395e-07
2.79800561831938e-05 2.38454994635274e-07
2.86362009101597e-05 2.50282981184917e-07
2.92980220985212e-05 2.6254060263721e-07
2.99653928206136e-05 2.752376811996e-07
3.06381822712728e-05 2.88384114121587e-07
3.13162557005981e-05 3.01989871114166e-07
3.19994743466562e-05 3.1606499125514e-07
3.26876953693919e-05 3.30619581252193e-07
3.33807717849554e-05 3.45663812321641e-07
3.40785524014272e-05 3.61207917743301e-07
3.47808817546065e-05 3.77262189647282e-07
3.5487600045683e-05 3.93836976114179e-07
3.61985430791435e-05 4.10942678839661e-07
3.69135422022393e-05 4.28589749101133e-07
3.76324242450221e-05 4.46788685060974e-07
3.83550114616291e-05 4.65550028428135e-07
3.90811214726269e-05 4.84884361227399e-07
3.98105672080584e-05 5.04802301586582e-07
4.05431568513239e-05 5.2531450128948e-07
4.12786937842774e-05 5.46431641006988e-07
4.20169765323333e-05 5.6816442706603e-07
4.27577987105165e-05 5.90523587634279e-07
4.35009489697768e-05 6.13519868045219e-07
4.42462109430878e-05 6.37164027368155e-07
4.49933631920075e-05 6.61466833936437e-07
4.57421791517746e-05 6.86439061046252e-07
4.64924270766868e-05 7.12091482236908e-07
4.72438699838838e-05 7.38434867151034e-07
4.79962655949965e-05 7.65479976252892e-07
4.87493662765573e-05 7.93237556647658e-07
4.95029189770067e-05 8.21718336827468e-07
5.02566651612354e-05 8.50933021499053e-07
5.1010340740178e-05 8.80892286840507e-07
5.17636759965761e-05 9.11606774908876e-07
5.25163955050964e-05 9.43087088021739e-07
5.32682180461064e-05 9.75343783960949e-07
5.40188565118794e-05 1.00838736946708e-06
5.47680178049828e-05 1.04222829479842e-06
5.55154027272864e-05 1.07687694807748e-06
5.62607058582754e-05 1.11234364912443e-06
5.7003615421552e-05 1.14863864287163e-06
5.77438131388125e-05 1.18577209367139e-06
5.84809740687107e-05 1.22375407865737e-06
5.92147664305635e-05 1.26259458099966e-06
5.99448514102039e-05 1.30230348367733e-06
6.06708829466224e-05 1.34289056241147e-06
6.13925074992178e-05 1.38436547852706e-06
6.21093637911345e-05 1.42673777257522e-06
6.28210825303349e-05 1.47001685633841e-06
6.352728610245e-05 1.51421200642794e-06
6.4227588239447e-05 1.55933235604916e-06
6.49215936551718e-05 1.60538688791425e-06
6.56088976535013e-05 1.65238442615487e-06
6.62890857001583e-05 1.70033362942087e-06
6.69617329622974e-05 1.74924298184317e-06
6.76264038113838e-05 1.79912078546569e-06
6.82826512872519e-05 1.8499751524012e-06
6.89300165246501e-05 1.90181399587059e-06
6.95680281388108e-05 1.95464502221446e-06
7.01962015683851e-05 2.00847572224368e-06
7.08140383794341e-05 2.06331336239178e-06
7.14210255233282e-05 2.11916497612514e-06
7.20166345546755e-05 2.17603735483351e-06
7.26003208058267e-05 2.23393703882748e-06
7.31715225198076e-05 2.29287030805389e-06
7.37296599432177e-05 2.35284317303583e-06
7.42741343819316e-05 2.41386136508607e-06
7.48043272189478e-05 2.47593032668901e-06
7.53195989026486e-05 2.53905520221885e-06
7.58192879054908e-05 2.6032408275832e-06
7.63027096615813e-05 2.66849172048799e-06
7.67691554866808e-05 2.73481207029119e-06
7.72178914919577e-05 2.80220572746227e-06
7.76481574969385e-05 2.87067619374316e-06
7.80591659546355e-05 2.94022661072712e-06
7.84501009001302e-05 3.0108597500749e-06
7.88201169377116e-05 3.08257800177464e-06
7.91683382808406e-05 3.15538336364529e-06
7.94938578665078e-05 3.22927743017481e-06
7.97957365626931e-05 3.3042613807027e-06
8.00730024929331e-05 3.38033596816703e-06
8.0324650507452e-05 3.45750150765247e-06
8.05496418280924e-05 3.53575786410753e-06
8.07469039040451e-05 3.61510444027127e-06
8.09153305151345e-05 3.6955401646518e-06
6.60402062132402e-05 3.77705212323628e-06
5.26413708106639e-05 3.85937423078399e-06
5.21074556237305e-05 3.94223015226766e-06
5.15684327470569e-05 4.02559052707654e-06
5.10243425432066e-05 4.10943709576433e-06
5.04752922573424e-05 4.19375133097243e-06
4.99214708979753e-05 4.27851443671707e-06
4.93631656966364e-05 4.36370734754054e-06
4.8800780436391e-05 4.44931072859201e-06
4.82348557652094e-05 4.53530497437197e-06
4.76660915972843e-05 4.62167020829236e-06
4.70953716767852e-05 4.70838628189803e-06
4.65237903428618e-05 4.7954327742873e-06
4.59526814744749e-05 4.88278899091561e-06
4.53836495049634e-05 4.97043396350164e-06
4.48186022840019e-05 5.05834644832849e-06
4.42597853998609e-05 5.14650492615737e-06
4.37098173607857e-05 5.23488760108068e-06
4.31717247719197e-05 5.32347239970853e-06
4.26489762924147e-05 5.41223697070639e-06
4.2145513762783e-05 5.50115868357002e-06
4.16657784126843e-05 5.59021462869554e-06
4.1214729553647e-05 5.67938161611671e-06
4.07978526416391e-05 5.76863617581583e-06
4.0421153142551e-05 5.85795455658735e-06
4.0091132342089e-05 5.94731272678418e-06
3.9814741227776e-05 6.03668637393976e-06
3.95993089932075e-05 6.12605090501367e-06
3.94524437015928e-05 6.21538144712087e-06
3.93819043104255e-05 6.30465284850221e-06
3.93954455972807e-05 6.39383967937094e-06
3.95006404130234e-05 6.48291623367354e-06
3.97046867958255e-05 6.57185653102568e-06
4.00142103343356e-05 6.66063431910565e-06
4.0435074178012e-05 6.74922307619848e-06
4.09722097241244e-05 6.83759601479401e-06
4.16294799236503e-05 6.92572608561831e-06
4.24095843423403e-05 7.0135859817634e-06
4.33140109950367e-05 7.10114814379148e-06
4.43430352330808e-05 7.18838476587386e-06
4.54957614542417e-05 7.27526780149533e-06
4.67701998563861e-05 7.36176897111438e-06
4.81633683320391e-05 7.44785976973157e-06
4.96714090148209e-05 7.53351147523078e-06
5.12897097417937e-05 7.61869515803785e-06
5.30130223745747e-05 7.70338169091084e-06
5.48355720746755e-05 7.78754175936091e-06
5.67511538396832e-05 7.87114587389107e-06
5.87532145783255e-05 7.95416438121791e-06
6.08349205842299e-05 8.03656747794787e-06
6.29892113951865e-05 8.11832522350996e-06
6.52088417466962e-05 8.19940755448353e-06
6.74864136968694e-05 8.27978429873028e-06
6.98144011233189e-05 8.35942519087634e-06
7.21851687363015e-05 8.43829988729886e-06
7.45909876043873e-05 8.51637798146111e-06
7.7024048975245e-05 8.59362901989812e-06
7.94764779726445e-05 8.67002251733064e-06
8.19403485319422e-05 8.74552797252948e-06
8.44077007665777e-05 8.82011488250001e-06
8.68705618003131e-05 8.89375275761159e-06
8.93209709798032e-05 8.96641113468016e-06
9.17510102922339e-05 9.03805958980231e-06
9.41528407414333e-05 9.10866774969283e-06
9.65187453924846e-05 9.17820530166073e-06
9.88411797622134e-05 9.24664200181055e-06
0.000101112830212547 9.31394768117508e-06
0.000103326680990433 9.38009224995613e-06
0.000105476090544072 9.44504569888738e-06
0.000107554877718005 9.50877809795314e-06
0.000109557418398241 9.57125959216712e-06
0.000111478753109753 9.63246039410958e-06
0.000113314705973147 9.69235077283531e-06
0.000115062015265776 9.75090103933183e-06
0.000116718475611799 9.80808152757106e-06
0.00011828309149274 9.86386257238568e-06
0.000119756241328505 9.91821448226191e-06
0.000121139850748279 9.97110750881669e-06
0.000122437572877134 1.00225118114713e-05
0.00012365497239373 1.00723974186906e-05
0.000124799708793504 1.01207341843636e-05
0.000125881712645694 1.01674917413176e-05
0.000126913346707335 1.0212639451e-05
0.000127909541517768 1.02561463502055e-05
0.00012888789275004 1.02979810953491e-05
0.000129868705210497 1.0338111904811e-05
0.000130874966374928 1.03765065001889e-05
0.000131932231076594 1.0413132047315e-05
0.000133068399042752 1.04479550976739e-05
0.000134313368997329 1.04809415321265e-05
0.000135698557614916 1.0512056506887e-05
0.000137256279152596 1.05412644044724e-05
0.000139018992021741 1.05685287901022e-05
0.000141018431304918 1.05938123752232e-05
0.000143284659878701 1.0617076990384e-05
0.000145845083328281 1.06382835683201e-05
0.00014872348286761 1.06573921398032e-05
0.000151939123836101 1.06743618433122e-05
0.000155505993703715 1.06891509514571e-05
0.000159432212922478 1.07017169144751e-05
0.000163719645956991 1.07120164245526e-05
0.000168363721093342 1.07200055003109e-05
0.000173353449410734 1.07256395959519e-05
