Tiempo Aceleracion Velocidad Posicion R_1 theta_1 theta_3 V_1 omega_1 omega_3 a_1 alpha_1 alpha_3
0 0 0 0 2.43136575495201 0.18615445134893 0.267898912405827 0 0 0 0 0 0
0.0195138282668915 0.150753768844221 0.00147089157790639 9.56757521682743e-06 2.43136769309884 0.186154300772955 0.267894535283993 0.000297569801482808 -2.3049889483693e-05 -0.000672925779684433 0.0304959741680058 -0.00236222601247776 -0.0689689954857294
0.0390276565337829 0.301507537688442 0.00588356631162556 7.65406017346194e-05 2.43138123966135 0.186153251456134 0.267863895577297 0.00118984613621838 -9.21649669356374e-05 -0.00269168047419378 0.0609364658244064 -0.00472002047376418 -0.137935089438578
0.0585414848006744 0.452261306532663 0.0132380242011575 0.000258324530854341 2.43141798405282 0.186150405295244 0.267780731959018 0.00267450896532798 -0.000207159934826437 -0.00605614267168021 0.091178802574123 -0.00706198952345066 -0.206890806863921
0.0780553130675658 0.603015075376884 0.0235342652465023 0.000612324813876956 2.43148943469134 0.186144871095455 0.267618787213669 0.00474552602849999 -0.000367553100392772 -0.0107659959790429 0.120985182261108 -0.00936915094750208 -0.275823621902426
0.0975691413344573 0.753768844221106 0.0367722894476598 0.00119594690210343 2.43160693096742 0.186135771156581 0.267351813011806 0.00739129620747175 -0.000572418448092523 -0.0168206291144262 0.150022639109801 -0.0116149517712309 -0.344715800203644
0.117082969601349 0.904522613065327 0.0529520968046301 0.00206659624683472 2.43178151645215 0.186122251383122 0.266953576672505 0.0105927919684055 -0.000820238200174563 -0.0242190316177041 0.177862982160145 -0.0137653015372837 -0.413544099589768
0.13659679786824 1.05527638190955 0.0720736873174131 0.00328167829937181 2.43202377584362 0.18610349426385 0.266397870029151 0.0143217002985978 -0.00110875621996923 -0.0329596819553252 0.203982702399551 -0.01577862619426 -0.482279282084894
0.156110626135132 1.20603015075377 0.094137060986009 0.00489859851101564 2.43234363561636 0.186078734700271 0.265658520585822 0.0185385615460617 -0.00143483270523091 -0.0430404238836741 0.22776285204302 -0.0176059471439026 -0.550885390769473
0.175624454402023 1.35678391959799 0.119142217810418 0.0069747623330672 2.43275012832821 0.186047278653732 0.264709405241109 0.0231909057367228 -0.00179430070232379 -0.0544583260322328 0.248488910243183 -0.0191909894157299 -0.619318745498927
0.195138282668915 1.50753768844221 0.147089157790639 0.00956757521682743 2.43325112053445 0.186008524569884 0.263524466963204 0.0282113863650365 -0.00218182504189773 -0.0672095187783974 0.265350664936053 -0.0204703221160842 -0.687526612327174
0.214652110935806 1.65829145728643 0.177977880926673 0.0127344426135973 2.43385300426577 0.185961987527074 0.262077734924355 0.0335159124255482 -0.00259076434327021 -0.0812890016139148 0.277442161278657 -0.0213735330415032 -0.755445502500987
0.234165939202697 1.80904522613065 0.21180838721852 0.0165327699746778 2.4345603520531 0.18590732604151 0.2603433487437 0.0390017807002535 -0.00301303678926839 -0.0966904133564746 0.283761794384889 -0.0218234388960811 -0.822999058247357
0.253679767469589 1.95979899497487 0.24858067666618 0.0210199627513699 2.43537553553757 0.185844371450628 0.258295587645011 0.0445458121196222 -0.00343899029428827 -0.113405756731306 0.283212656919628 -0.021736328152648 -0.890095483825235
0.27319359573648 2.1105527638191 0.288294749269653 0.0262534263949745 2.43629830780354 0.185773159780582 0.255908905508662 0.0500024986122932 -0.00385727775781242 -0.131425068066162 0.274603294647373 -0.021022235488372 -0.956624482301024
0.292707424003372 2.26130653266332 0.330950605028938 0.0322905663567926 2.43732534972813 0.185693965994646 0.253157972985592 0.0552021702625578 -0.0042547379063838 -0.150736022075208 0.256649070919291 -0.0195852405209607 -1.02245365988927
0.312221252270263 2.41206030150754 0.376548243944036 0.0391887880881252 2.4384497808755 0.18560734050868 0.250017728043556 0.0599491970931126 -0.00461628214289949 -0.171323460986724 0.227974399277514 -0.0173237827517993 -1.0874243615457
0.331735080537155 2.56281407035176 0.425087666014947 0.0470054970402732 2.43966063579597 0.185514147854146 0.246463436532552 0.0640202454692586 -0.0049247876051697 -0.193168836573296 0.187116169222401 -0.0141309807530097 -1.15134690291525
0.351248908804046 2.71356783919598 0.476568871241671 0.0557980986645376 2.4409423070475 0.185415607367628 0.242470764586102 0.0671626161797478 -0.00516099637207051 -0.216249552973962 0.132528764896165 -0.00989494017573876 -1.21399516484593
0.370762737070938 2.8643216080402 0.530991859624207 0.0656239984122193 2.44227395686553 0.185313335790179 0.238015864917811 0.0690926998468787 -0.00530342041798199 -0.240538197544774 0.0625911594346378 -0.00449903136303879 -1.27510051720998
0.390276565337829 3.01507537688442 0.588356631162556 0.0765406017346194 2.44362890020116 0.185209391671515 0.233075479328001 0.0694945956117364 -0.00532825150285737 -0.266001646324208 -0.0243833415878664 0.00217788659610111 -1.33434503852724
0.40979039360472 3.16582914572864 0.648663185856718 0.0886053140830388 2.4449739628589 0.185106321494606 0.227627060003418 0.0680189511693695 -0.00520927469446167 -0.292600030035953 -0.13013403696898 0.0102613225016565 -1.39135399667814
0.429304221871612 3.31658291457286 0.711911523706693 0.101875540908778 2.446268819733 0.185007207467041 0.221648912474447 0.0642820963052618 -0.00491778365231191 -0.320285545853667 -0.256435674249239 0.0198811213060994 -1.44568755369345
0.448818050138503 3.46733668341709 0.778101644712481 0.116408687663139 2.44746531970273 0.184915716968195 0.215120363389852 0.0578655581794536 -0.00442249516485 -0.349001099398417 -0.405076324618134 0.0311715783700231 -1.49683165419637
