Tiempo Aceleracion Velocidad Posicion
0 0 0 0
0.00388713896407547 0.03003003003003 5.83654499110432e-05 7.56248715016704e-08
0.00777427792815095 0.0600600600600601 0.000233461799644173 6.04998972013363e-07
0.0116614168922264 0.0900900900900901 0.000525289049199388 2.0418715305451e-06
0.0155485558563019 0.12012012012012 0.00093384719857669 4.83999177610691e-06
0.0194356948203774 0.15015015015015 0.00145913624777608 9.4531089377088e-06
0.0233228337844528 0.18018018018018 0.00210115619679755 1.63349722443608e-05
0.0272099727485283 0.21021021021021 0.00285990704564111 2.5939330925073e-05
0.0310971117126038 0.24024024024024 0.00373538879430676 3.87199342088553e-05
0.0349842506766793 0.27027027027027 0.0047276014427945 5.51305313247177e-05
0.0388713896407547 0.3003003003003 0.00583654499110431 7.56248715016704e-05
0.0427585286048302 0.33033033033033 0.00706221943923622 0.000100656703968723
0.0466456675689057 0.36036036036036 0.00840462478719021 0.000130679777954886
0.0505328065329812 0.39039039039039 0.00986376103496629 0.00016614784268917
0.0544199454970566 0.42042042042042 0.0114396281825645 0.000207514647400584
0.0583070844611321 0.45045045045045 0.0131322262299847 0.000255233941318138
0.0621942234252076 0.48048048048048 0.014941555177227 0.000309759473670842
0.0660813623892831 0.510510510510511 0.0168676150242915 0.000371544993687707
0.0699685013533585 0.540540540540541 0.018910405771178 0.000441044250597742
0.073855640317434 0.570570570570571 0.0210699274178866 0.000518710993629957
0.0777427792815095 0.600600600600601 0.0233461799644173 0.000604998972013363
0.081629918245585 0.630630630630631 0.02573916341077 0.00070036193497697
0.0855170572096604 0.660660660660661 0.0282488777569449 0.000805253631749787
0.0894041961737359 0.690690690690691 0.0308753230029418 0.000920127811560824
0.0932913351378114 0.720720720720721 0.0336184991487609 0.00104543822363909
0.0971784741018868 0.750750750750751 0.036478406194402 0.0011816386172136
0.101065613065962 0.780780780780781 0.0394550441398652 0.00132918274151336
0.104952752030038 0.810810810810811 0.0425484129851505 0.00148852434576738
0.108839890994113 0.840840840840841 0.0457585127302578 0.00166011717920467
0.112727029958189 0.870870870870871 0.0490853433751873 0.00184441499105424
0.116614168922264 0.900900900900901 0.0525289049199388 0.0020418715305451
0.12050130788634 0.930930930930931 0.0560891973645125 0.00225294054690626
0.124388446850415 0.960960960960961 0.0597662207089082 0.00247807578936674
0.128275585814491 0.990990990990991 0.063559974953126 0.00271773100715553
0.132162724778566 1.02102102102102 0.0674704600971659 0.00297235994950165
0.136049863742642 1.05105105105105 0.0714976761410279 0.00324241636563412
0.139937002706717 1.08108108108108 0.0756416230847119 0.00352835400478193
0.143824141670793 1.11111111111111 0.0799023009282181 0.00383062661617411
0.147711280634868 1.14114114114114 0.0842797096715463 0.00414968794903966
0.151598419598943 1.17117117117117 0.0887738493146966 0.00448599175260759
0.155485558563019 1.2012012012012 0.093384719857669 0.00483999177610691
0.159372697527094 1.23123123123123 0.0981123213004635 0.00521214176876663
0.16325983649117 1.26126126126126 0.10295665364308 0.00560289547981576
0.167146975455245 1.29129129129129 0.107917716885519 0.00601270665848331
0.171034114419321 1.32132132132132 0.11299551102778 0.00644202905399829
0.174921253383396 1.35135135135135 0.118190036069862 0.00689131641558972
0.178808392347472 1.38138138138138 0.123501292011767 0.00736102249248659
0.182695531311547 1.41141141141141 0.128929278853494 0.00785160103391793
0.186582670275623 1.44144144144144 0.134473996595043 0.00836350578911273
0.190469809239698 1.47147147147147 0.140135445236415 0.00889719050730002
0.194356948203774 1.5015015015015 0.145913624777608 0.0094531089377088
0.198244087167849 1.53153153153153 0.151808535218623 0.0100317148295681
0.202131226131925 1.56156156156156 0.157820176559461 0.0106334619321069
0.206018365096 1.59159159159159 0.16394854880012 0.0112588039945542
0.209905504060076 1.62162162162162 0.170193651940602 0.011908194766139
0.213792643024151 1.65165165165165 0.176555485980906 0.0125820879960904
0.217679781988227 1.68168168168168 0.183034050921031 0.0132809374336374
0.221566920952302 1.71171171171171 0.189629346760979 0.0140051968280088
0.225454059916377 1.74174174174174 0.196341373500749 0.0147553199284339
0.229341198880453 1.77177177177177 0.203170131140341 0.0155317604841416
0.233228337844528 1.8018018018018 0.210115619679755 0.0163349722443608
0.237115476808604 1.83183183183183 0.217177839118992 0.0171654089583207
0.241002615772679 1.86186186186186 0.22435678945805 0.0180235243752501
0.244889754736755 1.89189189189189 0.23165247069693 0.0189097722443782
0.24877689370083 1.92192192192192 0.239064882835633 0.0198246063149339
0.252664032664906 1.95195195195195 0.246594025874157 0.0207684803361462
0.256551171628981 1.98198198198198 0.254239899812504 0.0217418480572442
0.260438310593057 2.01201201201201 0.262002504650673 0.0227451632274569
0.264325449557132 2.04204204204204 0.269881840388664 0.0237788795960132
0.268212588521208 2.07207207207207 0.277877907026476 0.0248434509121422
0.272099727485283 2.1021021021021 0.285990704564111 0.025939330925073
0.275986866449359 2.13213213213213 0.294220233001569 0.0270669733840344
0.279874005413434 2.16216216216216 0.302566492338848 0.0282268320382555
0.28376114437751 2.19219219219219 0.311029482575949 0.0294193606369653
0.287648283341585 2.22222222222222 0.319609203712872 0.0306450129293929
0.291535422305661 2.25225225225225 0.328305655749618 0.0319042426647672
0.295422561269736 2.28228228228228 0.337118838686185 0.0331975035923173
0.299309700233811 2.31231231231231 0.346048752522575 0.0345252494612721
0.303196839197887 2.34234234234234 0.355095397258787 0.0358879340208607
0.307083978161962 2.37237237237237 0.36425877289482 0.0372860110203121
0.310971117126038 2.4024024024024 0.373538879430676 0.0387199342088553
0.314858256090113 2.43243243243243 0.382935716866354 0.0401901573357192
