Tiempo Aceleracion Velocidad Posicion R_1 theta_1 theta_3 V_1 omega_1 omega_3 a_1 alpha_1 alpha_3
0 0 0 0 -0.0996724913597904 -0.468421780545923 2.8736937411838 0 0 0 0 0 0
0.00388713896407547 0.03003003003003 5.83654499110432e-05 7.56248715016704e-08 -0.0996724927489954 -0.468421773493699 2.87369377578186 -1.07215491144383e-06 5.44273654964211e-06 2.67019427511695e-05 -0.000551642301541895 0.00280038224259555 0.0137386096136826
0.00777427792815095 0.0600600600600601 0.000233461799644173 6.04998972013363e-07 -0.0996725024734356 -0.468421724128109 2.87369401796823 -4.28862395467759e-06 2.17709632805591e-05 0.000106807763904133 -0.00110328737433936 0.00560077547141105 0.0274772146606682
0.0116614168922264 0.0900900900900901 0.000525289049199388 2.0418715305451e-06 -0.0996725288683939 -0.468421590135596 2.87369467533115 -9.64943021310495e-06 4.89847717032635e-05 0.000240317425419999 -0.00165494234447734 0.00840120793662269 0.0412158033978488
0.0155485558563019 0.12012012012012 0.00093384719857669 4.83999177610691e-06 -0.0996725802693088 -0.468421329201991 2.87369595545861 -1.7154633703567e-05 8.70843997440161e-05 0.000427230828395864 -0.00220661908876001 0.0112017267213538 0.0549543562525369
0.0194356948203774 0.15015015015015 0.00145913624777608 9.4531089377088e-06 -0.0996726650119538 -0.468420899011792 2.87369806593803 -2.68043498430319e-05 0.000136070304949108 0.00066754778262681 -0.00275833423470138 0.0140023977404991 0.0686928458205029
0.0233228337844528 0.18018018018018 0.00210115619679755 1.63349722443608e-05 -0.0996727914326884 -0.468420257247175 2.87370121435588 -3.85987679152328e-05 0.00019594323768263 0.000961267976157025 -0.00331010916050742 0.0168033057384906 0.0824312368622467
0.0272099727485283 0.21021021021021 0.00285990704564111 2.5939330925073e-05 -0.0996729678687815 -0.468419361586713 2.87370560829712 -5.25381695372151e-05 0.000266704314312935 0.00130839094481207 -0.00386196999504683 0.0196045542856529 0.0961694862969133
0.0310971117126038 0.24024024024024 0.00373538879430676 3.87199342088553e-05 -0.0996732026588061 -0.468418169703808 2.87371145534456 -6.86229471257434e-05 0.00034835509038161 0.00170891604170192 -0.00441394761780784 0.0224062657727946 0.109907543193266
0.0349842506766793 0.27027027027027 0.0047276014427945 5.51305313247177e-05 -0.0996735041431058 -0.468416639264844 2.87371896307811 -8.68536223635089e-05 0.000440897633747434 0.0021628424066823 -0.00496607765883804 0.0252085814036833 0.123645348757124
0.0388713896407547 0.3003003003003 0.00583654499110431 7.56248715016704e-05 -0.0996738806643331 -0.468414727927052 2.87372833907385 -0.000107230864665065 0.000544334597696393 0.00267016893575929 -0.00551840049866465 0.0280116611850523 0.137382836314686
0.0427585286048302 0.33033033033033 0.00706221943923622 0.000100656703968723 -0.0996743405680597 -0.468412393336094 2.87373979090304 -0.000129755509642413 0.000658669294007492 0.00323089425042025 -0.00607096126819251 0.0308156839137851 0.151119931291135
0.0466456675689057 0.36036036036036 0.00840462478719021 0.000130679777954886 -0.0996748922034585 -0.46840959312336 2.87375352613104 -0.00015442857757014 0.000783905765962682 0.00384501666687139 -0.00662380984857702 0.0336208471609265 0.164856551183955
0.0505328065329812 0.39039039039039 0.00986376103496629 0.00016614784268917 -0.0996755439240569 -0.468406284902984 2.87376975231597 -0.000181251291850011 0.000920048861287909 0.00451253416516038 -0.00717700087106966 0.0364273672521676 0.178592605530353
0.0544199454970566 0.42042042042042 0.0114396281825645 0.000207514647400584 -0.0996763040885628 -0.468402426268574 2.87378867700742 -0.000210225097474907 0.00106710430501088 0.00523344435815997 -0.00773059371683334 0.0392354792444512 0.192327995868217
0.0583070844611321 0.45045045045045 0.0131322262299847 0.000255233941318138 -0.0996771810617613 -0.468397974789662 2.87381050774495 -0.000241351679491976 0.00122507877221974 0.00600774446038623 -0.00828465251672541 0.0420454368983482 0.206062615690002
0.0621942234252076 0.48048048048048 0.014941555177227 0.000309759473670842 -0.0996781832154843 -0.468392888007868 2.87383545205643 -0.000274632981464882 0.00139397996070568 0.00683543125662308 -0.00883924615104598 0.0448575126458475 0.219796350388978
0.0660813623892831 0.510510510510511 0.0168676150242915 0.000371544993687707 -0.0996793189296505 -0.468387123432784 2.87386371745639 -0.000310071223934998 0.00157381666347082 0.00771650107032181 -0.00939444824924917 0.0476719975532234 0.233529077197236
0.0699685013533585 0.540540540540541 0.018910405771178 0.000441044250597742 -0.0996805965933789 -0.468380638537578 2.87389551144408 -0.000347668922881401 0.00176459884108143 0.00865094973174263 -0.00995033718961605 0.0504892012785977 0.247260665114874
0.073855640317434 0.570570570570571 0.0210699274178866 0.000518710993629957 -0.0996820246061721 -0.468373390754312 2.87393104150155 -0.000387428908179528 0.00196633769384565 0.00963877254580327 -0.0105069960988865 0.0533094520238824 0.26099097482978
0.0777427792815095 0.600600600600601 0.0233461799644173 0.000604998972013363 -0.0996836113791732 -0.468365337468986 2.87397051509153 -0.000429354342058306 0.00217904573379266 0.0106799642595961 -0.0110645128518493 0.0561330964807272 0.27471985862741
0.081629918245585 0.630630630630631 0.02573916341077 0.00070036193497697 -0.0996853653364928 -0.468356436016299 2.8740141396552 -0.000473448737555612 0.00240273685642959 0.0117745190295342 -0.0116229800708886 0.0589604997701302 0.288447160290007
0.0855170572096604 0.660660660660661 0.0282488777569449 0.000805253631749787 -0.099687294916609 -0.46834664367413 2.87406212260979 -0.000519715976971889 0.00263742641225084 0.0129224303880848 -0.0121824951254858 0.0617920453753597 0.302172714984641
