Error_NR Error_NR_EX
3.32685150480646e-11 1.95245694583522e-07
3.58419551780203e-11 2.05451790209033e-07
3.85737839819433e-11 2.16049024280812e-07
4.14711390881962e-11 2.27046897629395e-07
4.45410989116258e-11 2.38454994635274e-07
4.77910272362178e-11 2.50282981184917e-07
5.12284519701347e-11 2.6254060263721e-07
5.48609593780993e-11 2.752376811996e-07
5.8696198397516e-11 2.88384114121587e-07
6.27421995024377e-11 3.01989871114166e-07
6.70067274732395e-11 3.1606499125514e-07
7.14979319334939e-11 3.30619581252193e-07
7.62239668108053e-11 3.45663812321641e-07
8.11928795836801e-11 3.61207917743301e-07
8.64131610799317e-11 3.77262189647282e-07
9.18929201537e-11 3.93836976114179e-07
9.76405447784236e-11 4.10942678839661e-07
1.03664312658613e-10 4.28589749101133e-07
1.09972563246572e-10 4.46788685060974e-07
1.16573529047137e-10 4.65550028428135e-07
1.23475444372813e-10 4.84884361227399e-07
1.30686436768448e-10 5.04802301586582e-07
1.38214469547131e-10 5.2531450128948e-07
1.46067401539581e-10 5.46431641006988e-07
1.54253095143493e-10 5.6816442706603e-07
1.62778914708933e-10 5.90523587634279e-07
1.71652176779274e-10 6.13519868045219e-07
1.80880036758147e-10 6.37164027368155e-07
1.9046904138089e-10 6.61466833936437e-07
2.00425743767291e-10 6.86439061046252e-07
2.10756200093707e-10 7.12091482236908e-07
2.2146592096852e-10 7.38434867151034e-07
2.32560142344463e-10 7.65479976252892e-07
2.44043553157487e-10 7.93237556647658e-07
2.55920288448571e-10 8.21718336827468e-07
2.68193828231097e-10 8.50933021499053e-07
2.80867100418848e-10 8.80892286840507e-07
2.93942265872788e-10 9.11606774908876e-07
3.07420823206456e-10 9.43087088021739e-07
3.21303279089891e-10 9.75343783960949e-07
3.35589484500241e-10 1.42635683761981e-12
3.50278293988244e-10 1.52138933219875e-12
3.65367409238914e-10 1.62175672140523e-12
3.80853705391797e-10 1.72756577045751e-12
3.96732842962064e-10 1.83909894473227e-12
4.12999275656977e-10 1.95663093013686e-12
4.29646184418586e-10 2.08043910642939e-12
4.46665320279574e-10 2.21069266963748e-12
4.64047165484429e-10 2.3476117974265e-12
4.81780770907525e-10 2.49158579038054e-12
4.99853424484722e-10 2.64283910565668e-12
5.18251089060338e-10 2.80153582353935e-12
5.36957414561657e-10 2.96817806498749e-12
5.55954947561422e-10 3.14276515173888e-12
5.75223812213254e-10 3.32579625634065e-12
5.94742588777397e-10 3.51744050799631e-12
6.14487543332559e-10 3.71808462518913e-12
6.34432630687715e-10 3.92795262115228e-12
6.54550154748656e-10 4.14737680586629e-12
6.74809548647094e-10 4.37663655849602e-12
6.9517817433176e-10 4.6160643228756e-12
7.15620834579964e-10 4.86599533370766e-12
7.36099827303986e-10 5.1265942735294e-12
7.56574695137975e-10 5.39836285571674e-12
7.77002563974496e-10 5.68152430519185e-12
7.9733747781612e-10 5.97624526564228e-12
8.17530752084059e-10 6.28302456673269e-12
8.37530736040897e-10 6.60214267102446e-12
8.57282936652697e-10 6.93382134196186e-12
8.76729680642462e-10 7.27839474937503e-12
8.9581014726993e-10 7.63608537745633e-12
9.14460438161844e-10 8.0072831639901e-12
9.32613522329022e-10 8.39221118746701e-12
9.50198987634641e-10 8.79109182278642e-12
9.67143295087746e-10 9.204315140032e-12
9.83369551302906e-10 9.63199273112698e-12
9.98797530154201e-10 1.00745141332004e-11
1.01334401447981e-09 1.05319374708526e-11
1.02692204412944e-09 1.10045958999925e-11
1.03944159918091e-09 1.14926571500595e-11
1.0508095176174e-09 1.19962897682468e-11
1.06092961760321e-09 1.25157164892723e-11
1.06970221848692e-09 1.30509394047485e-11
1.07702523437113e-09 1.36022368149407e-11
1.08279317544438e-09 1.41696665787138e-11
1.08689815816981e-09 1.47532856608839e-11
1.08922980806724e-09 1.53531515288282e-11
1.08967541081783e-09 1.59692662505126e-11
1.08811997227625e-09 1.66016868803183e-11
9.20319300005013e-10 1.72501930580016e-11
7.3111860195855e-10 1.79123981717021e-11
6.98873531622099e-10 1.85853047424462e-11
6.64449234483245e-10 1.92685246712137e-11
6.27890638643157e-10 1.99612829270265e-11
5.89271401412366e-10 2.06631376936985e-11
5.48707084394054e-10 2.1373423531433e-11
5.06374522071591e-10 2.2091478325243e-11
4.62544318952577e-10 2.28165815805342e-11
4.17636720208549e-10 2.35479576477512e-11
3.72321460592484e-10 2.4284888141112e-11
3.27695776302647e-10 2.50265424124433e-11
2.85606021837194e-10 2.57719788869595e-11
2.49162963655282e-10 2.6520479221253e-11
2.23267263706113e-10 2.72708803585051e-11
2.14062505864356e-10 2.80224072833065e-11
2.25783042249899e-10 2.87739533376512e-11
2.57485229402556e-10 2.95245228513587e-11
3.04589204487632e-10 3.02729533414985e-11
3.62482435540878e-10 3.10181932591434e-11
4.27939786894238e-10 3.17591359466658e-11
4.98947978452107e-10 3.24945646854604e-11
5.74257738645054e-10 3.32232061850653e-11
6.53062635488165e-10 3.39438442975605e-11
7.34810001632489e-10 3.46552623555802e-11
8.19094697953196e-10 3.53561878338168e-11
9.05598693428209e-10 3.60451291244914e-11
9.94056045024413e-10 3.67208673920924e-11
1.08423167565458e-09 3.73820796509798e-11
1.17590817616375e-09 3.80272160745692e-11
1.26887698653241e-09 3.86550067617203e-11
1.3629336745354e-09 3.92640152056018e-11
1.45787389120105e-09 3.98526963342141e-11
1.55349007313793e-09 4.04196693200129e-11
1.64957066042486e-09 4.0963500259506e-11
1.74589832673955e-09 4.14827550774502e-11
1.84224913352246e-09 4.19759459627563e-11
1.93839142959134e-09 4.24415287275864e-11
2.03408660126894e-09 4.28781825219287e-11
2.1290874087807e-09 4.32843669326406e-11
2.22313863548031e-09 4.36587058651367e-11
2.31597661675177e-09 4.39997729737286e-11
2.40732961169273e-09 4.430614134525e-11
2.49691768070239e-09 4.45765495085317e-11
2.58445278790108e-09 4.48095192838446e-11
2.66963905076413e-09 4.5003792523898e-11
2.75217322486509e-09 4.51581715976177e-11
2.83174486377885e-09 4.52712917771671e-11
2.90803662181013e-09 4.53420719992242e-11
2.98072520529823e-09 4.53693728115033e-11
3.04948135553788e-09 4.53521718619975e-11
3.11397059930404e-09 4.52893384098541e-11
3.1738544629272e-09 4.51800219663905e-11
3.22879046382412e-09 4.50234301120835e-11
3.27843321694802e-09 4.48186161607271e-11
3.3224355509784e-09 4.45649568262037e-11
3.36044918850212e-09 4.4261906604745e-11
3.39212575545677e-09 4.39089650194889e-11
3.41711836496692e-09 4.3505598632477e-11
3.43508209211894e-09 4.30516020732429e-11
3.44567602372073e-09 4.25467825324941e-11
3.44856409550061e-09 4.19911373644172e-11
3.44341680646644e-09 4.13845989999e-11
3.42991278941645e-09 4.07275721347888e-11
3.40774069701869e-09 4.00202557104935e-11
3.37660024133027e-09 3.92631917739044e-11
3.33620541043879e-09 3.84571139119656e-11
3.28628504491402e-09 3.76027919424357e-11
3.22658621160492e-09 3.67012356817528e-11
3.15687609607157e-09 3.5753607004947e-11
3.07694442706441e-09 3.47613276390511e-11
2.98660714219975e-09 3.37259874616004e-11
2.88570881498564e-09 3.26494657424457e-11
2.77412718157928e-09 3.15337167129648e-11
2.65177739207822e-09 3.03811490930601e-11
