Tiempo_total_NR Tiempo_total_NR_EX tiempo_puntos_NR tiempo_puntos_NR_EX
61.7744316 67.5530278 0.4261932 0.5119384
62.2095617 68.1445685 0.4351301 0.5915407
62.6328787 68.674679 0.423317 0.5301105
63.0536711 69.2324581 0.4207924 0.5577791
63.4689832 69.7596115 0.4153121 0.5271534
63.8870347 70.2621652 0.4180515 0.5025537
64.3037843 70.7504327 0.4167496 0.4882675
64.7185181 71.236293 0.4147338 0.4858603
65.1344565 71.7259162 0.4159384 0.4896232
65.5927239 72.249119 0.4582674 0.5232028
66.0114517 72.7966829 0.4187278 0.5475639
66.4253008 73.3627185 0.4138491 0.5660356
66.8469075 73.8886161 0.4216067 0.5258976
67.2654196 74.4394736 0.4185121 0.5508575
67.6905545 74.958068 0.4251349 0.5185944
68.1025583 75.4445681 0.4120038 0.4865001
68.53407 75.9350086 0.4315117 0.4904405
68.941366 76.4232502 0.407296 0.4882416
69.3547377 76.9115411 0.4133717 0.4882909
69.7711554 77.390801 0.4164177 0.4792599
70.1790628 77.8751792 0.4079074 0.4843782
70.5927187 78.3912933 0.4136559 0.5161141
71.0108084 78.9573854 0.4180897 0.5660921
71.4372374 79.5028497 0.426429 0.5454643
71.8487931 79.9926463 0.4115557 0.4897966
72.259342 80.5853833 0.4105489 0.592737
72.668119 81.1085228 0.408777 0.5231395
73.0847668 81.6048424 0.4166478 0.4963196
73.4986391 82.0857669 0.4138723 0.4809245
73.9287861 82.5683077 0.430147 0.4825408
74.3597568 83.0575776 0.4309707 0.4892699
74.7735517 83.5360337 0.4137949 0.4784561
75.1880193 84.0203115 0.4144676 0.4842778
75.594415 84.5006347 0.4063957 0.4803232
76.0093051 84.9817674 0.4148901 0.4811327
76.4214185 85.5267261 0.4121134 0.5449587
76.8416145 86.1786192 0.420196 0.6518931
77.2563972 86.7706965 0.4147827 0.5920773
77.6791731 87.2614593 0.4227759 0.4907628
78.1464199 87.7656181 0.4672468 0.5041588
78.5637899 88.2719348 0.41737 0.5063167
78.9778467 88.812118 0.4140568 0.5401832
79.3905628 89.3459007 0.4127161 0.5337827
79.8082245 89.8407355 0.4176617 0.4948348
80.2267569 90.3346391 0.4185324 0.4939036
80.6373841 90.8143387 0.4106272 0.4796996
81.0544569 91.2997451 0.4170728 0.4854064
81.4694729 91.7792093 0.415016 0.4794642
81.8805492 92.2570671 0.4110763 0.4778578
82.2947324 92.7407963 0.4141832 0.4837292
82.7050286 93.2218142 0.4102962 0.4810179
83.1151475 93.7119244 0.4101189 0.4901102
83.5311159 94.2796614 0.4159684 0.567737
83.9506749 94.7818504 0.419559 0.502189
84.3626629 95.2758271 0.411988 0.4939767
84.7808559 95.7818939 0.418193 0.5060668
85.1947013 96.4091805 0.4138454 0.6272866
85.6079185 96.9715339 0.4132172 0.5623534
86.0286195 97.5148905 0.420701 0.5433566
86.4465438 98.0657249 0.4179243 0.5508344
86.8587048 98.5846057 0.412161 0.5188808
87.2788847 99.1094621 0.4201799 0.5248564
87.6954197 99.6064225 0.416535 0.4969604
88.1072122 100.098345 0.4117925 0.4919225
88.5158059 100.5864999 0.4085937 0.4881549
88.9322036 101.0703459 0.4163977 0.483846
89.3459129 101.5478796 0.4137093 0.4775337
89.7620596 102.033327 0.4161467 0.4854474
90.212286 102.52644 0.4502264 0.493113
90.6211736 103.0026917 0.4088876 0.4762517
91.046074 103.486847 0.4249004 0.4841553
91.4605728 103.9722107 0.4144988 0.4853637
91.8810705 104.4748371 0.4204977 0.5026264
92.3021156 104.9638887 0.4210451 0.4890516
92.7191821 105.4505595 0.4170665 0.4866708
93.1318722 105.976819 0.4126901 0.5262595
93.5469811 106.5631796 0.4151089 0.5863606
93.961013 107.0867465 0.4140319 0.5235669
94.3724204 107.6152773 0.4114074 0.5285308
94.7854038 108.1113769 0.4129834 0.4960996
95.2005177 108.7942387 0.4151139 0.6828618
95.6148666 109.4171435 0.4143489 0.6229048
96.0290921 109.9545876 0.4142255 0.5374441
96.4423001 110.448522 0.413208 0.4939344
96.85642 110.9299882 0.4141199 0.4814662
97.27031 111.4165592 0.41389 0.486571
97.6937273 111.8983377 0.4234173 0.4817785
98.1034862 112.3786853 0.4097589 0.4803476
98.5154014 112.9420994 0.4119152 0.5634141
98.9373624 113.5530619 0.421961 0.6109625
99.3531361 114.2271018 0.4157737 0.6740399
99.765792 114.754569 0.4126559 0.5274672
100.1796821 115.256034 0.4138901 0.501465
100.5913058 115.7337532 0.4116237 0.4777192
101.0088988 116.2340496 0.417593 0.5002964
101.4227103 116.6996621 0.4138115 0.4656125
101.8328494 117.1668397 0.4101391 0.4671776
102.2831589 117.63098 0.4503095 0.4641403
102.704517 118.0892531 0.4213581 0.4582731
103.1133088 118.5548244 0.4087918 0.4655713
103.5321303 119.0155699 0.4188215 0.4607455
103.9548216 119.507381 0.4226913 0.4918111
104.3629669 119.9678936 0.4081453 0.4605126
104.7768503 120.4650536 0.4138834 0.49716
105.1870516 120.9517391 0.4102013 0.4866855
105.6003239 121.4163744 0.4132723 0.4646353
106.0146935 121.8770211 0.4143696 0.4606467
106.4266907 122.5387511 0.4119972 0.66173
106.8420977 123.2019602 0.415407 0.6632091
107.2564856 123.6899347 0.4143879 0.4879745
107.6691595 124.1579135 0.4126739 0.4679788
108.0801978 124.6189567 0.4110383 0.4610432
108.4881213 125.0820844 0.4079235 0.4631277
108.9138243 125.5509047 0.425703 0.4688203
109.3249814 126.0118892 0.4111571 0.4609845
109.7401934 126.5220453 0.415212 0.5101561
110.1504475 126.9840096 0.4102541 0.4619643
110.5640968 127.4450417 0.4136493 0.4610321
110.9815809 127.9077922 0.4174841 0.4627505
111.3974023 128.3745004 0.4158214 0.4667082
111.8189195 128.8458524 0.4215172 0.471352
112.6817465 129.3055641 0.862827 0.4597117
113.1755975 129.7673976 0.493851 0.4618335
113.5944903 130.2359075 0.4188928 0.4685099
114.0031156 130.6929406 0.4086253 0.4570331
114.4155689 131.161035 0.4124533 0.4680944
114.8632351 131.6214796 0.4476662 0.4604446
115.2787668 132.0823022 0.4155317 0.4608226
115.6918316 132.5468871 0.4130648 0.4645849
116.1017153 133.0109188 0.4098837 0.4640317
116.520351 133.465515 0.4186357 0.4545962
116.9339811 133.9394479 0.4136301 0.4739329
117.349034 134.4241222 0.4150529 0.4846743
117.7587898 134.8851297 0.4097558 0.4610075
118.1674495 135.3511136 0.4086597 0.4659839
118.5895672 135.8120922 0.4221177 0.4609786
119.0082888 136.2791865 0.4187216 0.4670943
119.4277525 136.7390467 0.4194637 0.4598602
119.8507569 137.2034357 0.4230044 0.464389
120.2643475 137.6620503 0.4135906 0.4586146
120.6818018 138.1397696 0.4174543 0.4777193
121.1070133 138.6003513 0.4252115 0.4605817
121.5186156 139.0631743 0.4116023 0.462823
121.9348493 139.5266195 0.4162337 0.4634452
122.3482796 139.9854118 0.4134303 0.4587923
122.7631477 140.4538387 0.4148681 0.4684269
123.1818228 140.9155587 0.4186751 0.46172
123.5954428 141.3809864 0.41362 0.4654277
124.014142 141.854975 0.4186992 0.4739886
124.4323487 142.3179667 0.4182067 0.4629917
124.8479379 142.7794779 0.4155892 0.4615112
125.2670789 143.2352438 0.419141 0.4557659
125.6856623 143.7039514 0.4185834 0.4687076
126.0987345 144.1675306 0.4130722 0.4635792
126.5168685 144.6318018 0.418134 0.4642712
126.9701654 145.0889608 0.4532969 0.457159
127.3828552 145.5571435 0.4126898 0.4681827
127.7975906 146.0250518 0.4147354 0.4679083
128.2143905 146.4876095 0.4167999 0.4625577
128.6269993 146.9504928 0.4126088 0.4628833
129.049785 147.4130334 0.4227857 0.4625406
129.4611319 147.8719525 0.4113469 0.4589191
129.8795857 148.337611 0.4184538 0.4656585
130.2931686 148.798965 0.4135829 0.461354
130.7101801 149.2591051 0.4170115 0.4601401
131.1199845 149.7178769 0.4098044 0.4587718
131.5269465 150.1796689 0.406962 0.461792
131.9432559 150.6430099 0.4163094 0.463341
132.361449 151.1071981 0.4181931 0.4641882
132.7728993 151.5701761 0.4114503 0.462978
133.1900717 152.0463339 0.4171724 0.4761578
133.6044255 152.6017796 0.4143538 0.5554457
134.025859 153.082098 0.4214335 0.4803184
134.4755059 153.5447257 0.4496469 0.4626277
134.8864483 154.002545 0.4109424 0.4578193
135.2976567 154.4581092 0.4112084 0.4555642
135.7146265 154.923849 0.4169698 0.4657398
136.1300025 155.39043 0.415376 0.466581
136.5423322 155.8475663 0.4123297 0.4571363
136.962049 156.3235569 0.4197168 0.4759906
137.3749282 156.7874136 0.4128792 0.4638567
137.7855287 157.2480693 0.4106005 0.4606557
138.2001388 157.7058601 0.4146101 0.4577908
138.6100527 158.1656963 0.4099139 0.4598362
139.0303564 158.6287056 0.4203037 0.4630093
139.575398 159.0956462 0.5450416 0.4669406
139.9964463 159.5573386 0.4210483 0.4616924
140.4121616 160.022527 0.4157153 0.4651884
140.8214571 160.4820206 0.4092955 0.4594936
141.2445782 160.9475963 0.4231211 0.4655757
141.6603497 161.4070693 0.4157715 0.459473
142.084643 161.8657646 0.4242933 0.4586953
142.4974282 162.3263059 0.4127852 0.4605413
142.9620062 162.7868407 0.464578 0.4605348
143.4047003 163.2465515 0.4426941 0.4597108
143.8210893 163.7031734 0.416389 0.4566219
144.2315075 164.1686696 0.4104182 0.4654962
144.64812 164.6341209 0.4166125 0.4654513
145.0640863 165.098512 0.4159663 0.4643911
145.4819039 165.5604926 0.4178176 0.4619806
145.9040577 166.0215258 0.4221538 0.4610332
146.3157559 166.4813735 0.4116982 0.4598477
146.7240986 166.9435682 0.4083427 0.4621947
147.1410361 167.4043109 0.4169375 0.4607427
147.5500051 167.8675187 0.408969 0.4632078
147.9879293 168.3380342 0.4379242 0.4705155
148.3994333 168.7949433 0.411504 0.4569091
148.8126054 169.2501838 0.4131721 0.4552405
149.2314535 169.7074619 0.4188481 0.4572781
149.6413931 170.1722163 0.4099396 0.4647544
